Name	Position	Nationality	Scrabble Score
Ryan Bertrand	Defender	England	18
Ciaron Brown	Defender	England	18
Reece Burke	Defender	England	18
David Button	Goalkeeper	England	18
Conor Coady	Midfielder	England	18
Aaron Connolly	Forward	Ireland	18
Karl Darlow	Goalkeeper	England	18
Matteo Darmian	Defender	Italy	18
Steven Davis	Midfielder	Northern Ireland	18
Laurent Depoitre	Forward	Belgium	18
Diogo Jota	Midfielder	Portugal	18
Luke Dreher	Midfielder	England	18
Paul Dummett	Defender	Wales	18
Neil Etheridge	Goalkeeper	Philippines	18
Patrice Evra	Defender	France	18
Liam Feeney	Midfielder	England	18
Fernandinho	Midfielder	Brazil	18
Phil Foden	Forward	England	18
Luke Garbutt	Defender	England	18
Gio McGregor	Midfielder	England	18
Olivier Giroud	Forward	France	18
Claudio Gomes	Midfielder	France	18
Demarai Gray	Midfielder	England	18
Tomer Hemed	Forward	Israel	18
Mason Holgate	Defender	England	18
Sam Hughes	Defender	England	18
Robert Huth	Defender	Germany	18
Isaac Success	Forward	Nigeria	18
João Mário	Midfielder	Portugal	18
Naby Keita	Midfielder	Guinea	18
Lewis Cook	Midfielder	England	18
Matt Macey	Goalkeeper	England	18
George Marsh	Midfielder	England	18
Ben Marshall	Midfielder	England	18
Conor Masterson	Defender	Ireland	18
Matty Daly	Midfielder	England	18
Simon Mignolet	Goalkeeper	Belgium	18
Victor Moses	Midfielder	Nigeria	18
Marc Navarro	Defender	Spain	18
Kieran O'Hara	Goalkeeper	Ireland	18
David Ospina	Goalkeeper	Colombia	18
Mario Pasalic	Midfielder	Croatia	18
Nick Pope	Goalkeeper	England	18
Marc Pugh	Midfielder	England	18
Matt Ritchie	Midfielder	Scotland	18
Rúben Vinagre	Defender	Portugal	18
Kyle Scott	Midfielder	United States	18
Luke Shaw	Defender	England	18
David Silva	Midfielder	Spain	18
Jason Steele	Goalkeeper	England	18
Dale Stephens	Midfielder	England	18
Steve Cook	Defender	England	18
Daniel Sturridge	Forward	England	18
Andrew Surman	Midfielder	England	18
Yan Valery	Defender	France	18
Luciano Vietto	Forward	Argentina	18
Anton Walkes	Defender	England	18
Chris Wood	Forward	New Zealand	18
Zanka	Defender	Denmark	18
Andreas Pereira	Midfielder	Brazil	17
Eric Bailly	Defender	Cote D'Ivoire	17
Daniel Barlaser	Midfielder	England	17
Connor Barrett	Midfielder	England	17
Daley Blind	Defender	Netherlands	17
Adam Bogdan	Goalkeeper	Hungary	17
Miguel Britos	Defender	Uruguay	17
Sam Byram	Defender	England	17
Tom Cairney	Midfielder	Scotland	17
Etienne Capoue	Midfielder	France	17
Guido Carrillo	Forward	Argentina	17
Andy Carroll	Forward	England	17
Petr Cech	Goalkeeper	Czech Republic	17
Cédric Soares	Defender	Portugal	17
David de Gea	Goalkeeper	Spain	17
Troy Deeney	Forward	England	17
Lewis Dunk	Defender	England	17
